job_title, company_name, state, city, link 
Data scientist,Artisan industries  inc.,Massachusetts,Stoughton,https://nucareers.northeastern.edu/postings.htm?pId=1861201
It design co-op,Bmw of north america  llc,New jersey,Woodcliff lake,https://nucareers.northeastern.edu/postings.htm?pId=1860544
It project management co-op agile and ios apps,Bmw of north america  llc,New jersey,Woodcliff lake,https://nucareers.northeastern.edu/postings.htm?pId=1860547
Front end developer internship,Continuum managed services  llc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1861196
Operations co-op,Enernoc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860698
Assistant production support co-op boston  ma,Fidelity investments,Massachusetts,Merrimack,https://nucareers.northeastern.edu/postings.htm?pId=1861185
(ccis) junior devops systems administrator internship,Harvard medical school,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860779
(ccis) project management internship,Harvard medical school,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860780
(ccis) research data management intern,Harvard medical school,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860781
(ccis) business systems analyst,Monotype,Massachusetts,Woburn,https://nucareers.northeastern.edu/postings.htm?pId=1860757
(ccis) software development engineer in test,Monotype,Massachusetts,Woburn,https://nucareers.northeastern.edu/postings.htm?pId=1860574
[coop] junior software developer,Moviri,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860832
Virtual reality brain monitoring research assistant,Northeastern university,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860817
(ccis)machine learning for materials manufacturing,Northeastern university,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860532
(ccis) web and mobile developer,Orig3n  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1861134
Associate co-op consultant,Putnam associates inc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1847508
Service desk analyst trainee,Pvh corp.,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1860007
