location, amount, lat_long
Stoughton Massachusetts,1,lat: 42.1229099 lng: -71.10920120000002
Woodcliff lake New jersey,2,lat: 41.0234304 lng: -74.06652969999999
Boston Massachusetts,178,lat: 42.3600825 lng: -71.0588801
Merrimack Massachusetts,1,lat: 42.8340582 lng: -71.0005509
Woburn Massachusetts,3,lat: 42.4792618 lng: -71.1522765
New york New york,16,lat: 36.1023715 lng: -115.1745559
Bridgewater New jersey,3,lat: 40.5939636 lng: -74.6049061
Waltham Massachusetts,5,lat: 42.3764852 lng: -71.2356113
Great barrington Massachusetts,1,lat: 42.1959798 lng: -73.362008
Burlington Massachusetts,14,lat: 42.5047161 lng: -71.1956205
Cambridge Massachusetts,30,lat: 42.3736158 lng: -71.10973349999999
Bedford Massachusetts,9,lat: 42.4906231 lng: -71.2760089
Lawrence Massachusetts,1,lat: 42.7070354 lng: -71.1631137
Reston District of columbia,1,lat: 38.9071923 lng: -77.0368707
Mountain view California,1,lat: 37.3860517 lng: -122.0838511
Richmond Global ,1,lat: 40.7586871 lng: -73.96915179999999
Oslo Global ,1,lat: 59.9134923 lng: 10.7489228
Beverly Massachusetts,3,lat: 42.5584283 lng: -70.880049
E newton upper falls Massachusetts,1,lat: 42.3121798 lng: -71.2205981
Philadelphia Pennsylvania,1,lat: 39.9525839 lng: -75.1652215
Ampang Global ,1,lat: 3.1517293 lng: 101.759093
Old greenwich Connecticut,1,lat: 41.0232624 lng: -73.5652049
Natick Massachusetts,1,lat: 42.2775281 lng: -71.3468091
Malibu California,1,lat: 34.0259216 lng: -118.7797571
New brunswick New jersey,1,lat: 40.4862157 lng: -74.4518188
Lexington Massachusetts,13,lat: 42.4430372 lng: -71.2289641
Andover Massachusetts,14,lat: 42.6583356 lng: -71.1367953
Palo alto California,11,lat: 37.4418834 lng: -122.1430195
Beavercreek Ohio,3,lat: 39.7092262 lng: -84.06326849999999
Washington District of columbia,2,lat: 38.9071923 lng: -77.0368707
Boxborough Massachusetts,2,lat: 42.4834197 lng: -71.5167139
Santiago Global ,1,lat: -33.3709164 lng: -70.67076349999999
Rome Global ,1,lat: 34.2077441 lng: -85.3660762
Nyc New york,2,lat: 40.7127753 lng: -74.0059728
Bengaluru Global ,1,lat: 13.0479506 lng: 77.5971517
Nairobi Global ,1,lat: -1.2609327 lng: 36.7844982
Schwalbach am taunus Global ,1,lat: 50.1327518 lng: 8.5563738
Marlborough Massachusetts,3,lat: 42.3459271 lng: -71.5522874
Needham Massachusetts,4,lat: 42.2809285 lng: -71.23775479999999
Danvers Massachusetts,2,lat: 42.5750009 lng: -70.93212199999999
Toronto Global ,1,lat: 43.6466748 lng: -79.3882988
Madrid Global ,1,lat: 33.959669 lng: -84.245429
Acton Massachusetts,2,lat: 42.4850931 lng: -71.43284
Quincy Massachusetts,6,lat: 42.2528772 lng: -71.0022705
Toulouse Global ,1,lat: 43.6109967 lng: 1.4304557
North reading Massachusetts,5,lat: 42.5750939 lng: -71.0786653
Seattle Washington,1,lat: 47.6062095 lng: -122.3320708
Newton Massachusetts,4,lat: 42.3370413 lng: -71.20922139999999
Yerevan Global ,3,lat: 40.200966 lng: 44.47546699999999
Arlington District of columbia,2,lat: 38.8816208 lng: -77.09098089999999
Mexico city  df Global ,1,lat: 19.4360762 lng: -99.07190829999999
Singapore Global ,2,lat: 1.315983 lng: 103.921535
Geneve Global ,1,lat: 40.04215 lng: -75.465625
Salem Massachusetts,1,lat: 42.51954 lng: -70.8967155
Houston Texas,1,lat: 29.7604267 lng: -95.3698028
Somerville Massachusetts,8,lat: 42.3875968 lng: -71.0994968
Bucuresti Global ,1,lat: 44.433128 lng: 26.106751
Baltimore Maryland,1,lat: 39.2903848 lng: -76.6121893
Peabody Massachusetts,1,lat: 42.5278731 lng: -70.9286609
Watertown Massachusetts,4,lat: 42.3709299 lng: -71.1828321
Stow Massachusetts,2,lat: 42.4370374 lng: -71.5056199
Framingham Massachusetts,4,lat: 42.279286 lng: -71.4161565
Charlestown Massachusetts,6,lat: 42.3782065 lng: -71.0602131
Portsmouth New hampshire,2,lat: 43.0717552 lng: -70.7625532
Edgewood Massachusetts,1,lat: 42.6995144 lng: -71.10486209999999
